"","HHID","ea_id","FCS","HDDS","rCSI","rural","FS_year","FS_month","hhweight","lat_modified","lon_modified","round"
"20","101012040020","10101204",25,3,3,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"21","101012040024","10101204",30.5,6,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"22","101012040028","10101204",51.5,7,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"23","101012040037","10101204",46.5,6,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"24","101012040041","10101204",29,4,14,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"25","101012040045","10101204",30,4,20,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"26","101012040054","10101204",44,5,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"27","101012040058","10101204",30,4,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"28","101012040062","10101204",39,4,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"29","101012040071","10101204",44,6,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"30","101012040075","10101204",34,5,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"31","101012040079","10101204",33,5,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"32","101012040087","10101204",33.5,4,0,1,2010,4,151.305404663086,-9.89498043060303,33.3810005187988,2010
"33","101012150001","10101215",25,3,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"34","101012150004","10101215",27.5,5,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"35","101012150021","10101215",39.5,5,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"36","101012150022","10101215",27,5,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"37","101012150026","10101215",46,7,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"38","101012150028","10101215",44,5,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"39","101012150034","10101215",68,7,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"40","101012150038","10101215",43,6,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"41","101012150040","10101215",23,3,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"42","101012150045","10101215",30,4,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"43","101012150048","10101215",48.5,6,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"44","101012150049","10101215",43,6,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"45","101012150053","10101215",88,6,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"46","101012150059","10101215",37,4,14,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"47","101012150060","10101215",21,4,0,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"48","101012150074","10101215",59,5,25,1,2010,5,130.705993652344,-9.50446033477783,33.2302017211914,2010
"49","101012190012","10101219",37,4,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"50","101012190018","10101219",61.5,7,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"51","101012190025","10101219",34,4,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"52","101012190032","10101219",45.5,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"53","101012190045","10101219",46,6,1,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"54","101012190052","10101219",47,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"55","101012190059","10101219",37.5,5,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"56","101012190065","10101219",46.5,5,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"57","101012190079","10101219",55,7,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"58","101012190086","10101219",25,4,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"59","101012190092","10101219",25.5,4,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"60","101012190099","10101219",43,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"61","101012190112","10101219",30,4,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"62","101012190119","10101219",35.5,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"63","101012190126","10101219",39,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"64","101012190139","10101219",39,6,0,1,2011,2,134.10270690918,-9.5946102142334,33.4040985107422,2010
"65","101013550014","10101355",52.5,3,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"66","101013550023","10101355",52.5,4,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"67","101013550032","10101355",52.5,4,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"68","101013550042","10101355",21,2,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"69","101013550060","10101355",91.5,7,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"70","101013550070","10101355",58,6,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"71","101013550079","10101355",65.5,6,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"72","101013550089","10101355",59,6,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"73","101013550107","10101355",34,6,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"74","101013550117","10101355",35,5,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"75","101013550126","10101355",41,7,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"76","101013550135","10101355",59,6,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"77","101013550154","10101355",31,5,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"78","101013550164","10101355",21,3,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"79","101013550173","10101355",25,3,2,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"80","101013550192","10101355",32,4,0,1,2011,1,75.261100769043,-9.73456954956055,33.4071998596191,2010
"81","101013740006","10101374",24,4,4,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"82","101013740013","10101374",47.5,6,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"83","101013740020","10101374",30,4,4,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"84","101013740028","10101374",39.5,6,2,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"85","101013740035","10101374",43,5,2,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"86","101013740050","10101374",39,5,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"87","101013740057","10101374",49,5,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"88","101013740064","10101374",20,4,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"89","101013740072","10101374",39,4,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"90","101013740094","10101374",34.5,6,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"91","101013740101","10101374",57.5,6,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"92","101013740108","10101374",28,4,8,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"93","101013740123","10101374",46,6,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"94","101013740130","10101374",25,3,5,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"95","101013740138","10101374",22,3,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"96","101013740152","10101374",27.5,5,0,1,2010,10,84.1155014038086,-9.58701992034912,33.2181015014648,2010
"97","101014700012","10101470",33,3,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"98","101014700026","10101470",59,6,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"99","101014700029","10101470",32,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"100","101014700032","10101470",31.5,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"101","101014700034","10101470",23,2,3,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"102","101014700055","10101470",37,5,7,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"103","101014700079","10101470",51,7,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"104","101014700128","10101470",38.5,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"105","101014700135","10101470",39,6,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"106","101014700148","10101470",31.5,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"107","101014700156","10101470",40.5,6,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"108","101014700200","10101470",63,6,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"109","101014700214","10101470",28,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"110","101014700224","10101470",36,4,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"111","101014700227","10101470",62.5,7,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"112","101014700248","10101470",31,5,0,1,2010,6,130.091598510742,-9.66271018981934,33.2523994445801,2010
"113","101015620009","10101562",64,7,3,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"114","101015620020","10101562",44,6,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"115","101015620031","10101562",30.5,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"116","101015620042","10101562",52.5,7,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"117","101015620053","10101562",38,6,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"118","101015620064","10101562",69,7,3,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"119","101015620075","10101562",25,4,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"120","101015620086","10101562",41.5,4,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"121","101015620096","10101562",37.5,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"122","101015620118","10101562",32.5,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"123","101015620140","10101562",47,7,3,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"124","101015620162","10101562",42,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"125","101015620184","10101562",87,7,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"126","101015620195","10101562",25,4,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"127","101015620205","10101562",28.5,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"128","101015620227","10101562",36,5,0,1,2010,7,101.449897766113,-9.66792011260986,33.3936996459961,2010
"129","101015680005","10101568",54,6,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"130","101015680012","10101568",36,5,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"131","101015680019","10101568",41,5,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"132","101015680026","10101568",60,6,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"133","101015680033","10101568",46,6,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"134","101015680046","10101568",31.5,5,4,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"135","101015680053","10101568",30.5,4,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"136","101015680060","10101568",36.5,6,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"137","101015680067","10101568",33.5,5,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"138","101015680081","10101568",40,5,3,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"139","101015680088","10101568",29.5,4,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"140","101015680095","10101568",34,5,3,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"141","101015680102","10101568",28.5,5,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"142","101015680116","10101568",32,4,1,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"143","101015680130","10101568",39.5,6,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"144","101015680144","10101568",31,4,0,1,2010,11,51.7102012634277,-9.73770999908447,33.260799407959,2010
"145","101017060006","10101706",55,6,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"146","101017060007","10101706",36.5,5,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"147","101017060011","10101706",36,3,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"148","101017060015","10101706",31,5,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"149","101017060022","10101706",36,5,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"150","101017060026","10101706",36,5,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"151","101017060030","10101706",41,6,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"152","101017060033","10101706",48,7,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"153","101017060041","10101706",40,6,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"154","101017060045","10101706",52,6,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"155","101017060048","10101706",83,7,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"156","101017060052","10101706",56.5,7,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"157","101017060059","10101706",27.5,5,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"158","101017060063","10101706",14,3,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"159","101017060067","10101706",31,3,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"160","101017060074","10101706",29,4,0,1,2010,11,130.967697143555,-9.53645992279053,33.3866004943848,2010
"161","101020040001","10102004",55.5,7,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"162","101020040008","10102004",36,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"163","101020040012","10102004",32,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"164","101020040015","10102004",49.5,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"165","101020040028","10102004",72.5,6,8,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"166","101020040031","10102004",41,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"167","101020040034","10102004",81,7,2,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"168","101020040039","10102004",37.5,6,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"169","101020040042","10102004",21.5,3,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"170","101020040059","10102004",23,3,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"171","101020040061","10102004",43,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"172","101020040093","10102004",38,6,11,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"173","101020040101","10102004",32,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"174","101020040104","10102004",29,5,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"175","101020040121","10102004",24,3,4,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"176","101020040128","10102004",31.5,7,0,1,2010,5,172.272796630859,-9.74822998046875,33.5035018920898,2010
"177","101023790001","10102379",43.5,6,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"178","101023790005","10102379",37,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"179","101023790008","10102379",44,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"180","101023790012","10102379",43,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"181","101023790015","10102379",25,4,6,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"182","101023790026","10102379",41,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"183","101023790029","10102379",36.5,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"184","101023790033","10102379",37,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"185","101023790040","10102379",34,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"186","101023790043","10102379",35,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"187","101023790047","10102379",25,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"188","101023790051","10102379",42,3,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"189","101023790058","10102379",31,4,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"190","101023790061","10102379",40.5,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"191","101023790065","10102379",45.5,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"192","101023790072","10102379",35,5,0,1,2010,11,70.3800964355469,-9.5815896987915,33.5918998718262,2010
"193","101026210012","10102621",65,7,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"194","101026210018","10102621",68,7,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"195","101026210024","10102621",75,7,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"196","101026210030","10102621",71.5,7,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"197","101026210042","10102621",40.5,5,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"198","101026210048","10102621",34,5,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"199","101026210054","10102621",33.5,4,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"200","101026210061","10102621",55,5,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"201","101026210073","10102621",29,4,12,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"202","101026210079","10102621",29.5,5,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"203","101026210085","10102621",40,6,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"204","101026210091","10102621",32,5,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"205","101026210103","10102621",30,3,4,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"206","101026210109","10102621",31,3,0,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
"207","101026210115","10102621",34,3,2,1,2011,2,61.9524002075195,-9.71323013305664,33.4519996643066,2010
